month;day;hour;Dry Bulb Temperature [DegC];Global Horizontal Radiation [Wh/m2]
1;1;1;11.7;0
1;1;2;11.3;0
1;1;3;11.5;0
1;1;4;11.6;0
1;1;5;11.5;0
1;1;6;11.6;0
1;1;7;11.5;0
1;1;8;11.7;0
1;1;9;11.6;0
1;1;10;11.8;41
1;1;11;12.6;186
1;1;12;14.4;276
1;1;13;14.7;324
1;1;14;15.7;179
1;1;15;14.6;271
1;1;16;14.5;99
1;1;17;13.8;37
1;1;18;12.8;0
1;1;19;11.8;0
1;1;20;11.4;0
1;1;21;10.8;0
1;1;22;8.7;0
1;1;23;9.6;0
1;1;24;8.9;0
1;2;1;8.5;0
1;2;2;8.2;0
1;2;3;6.8;0
1;2;4;7.6;0
1;2;5;7.8;0
1;2;6;8.5;0
1;2;7;10.3;0
1;2;8;9.4;0
1;2;9;9.4;0
1;2;10;9.4;25
1;2;11;9.4;64
1;2;12;9.4;155
1;2;13;10.4;181
1;2;14;8.9;181
1;2;15;9.4;292
1;2;16;9.7;101
1;2;17;8.6;69
1;2;18;7.4;0
1;2;19;8.3;0
1;2;20;7.4;0
1;2;21;7.5;0
1;2;22;7.0;0
1;2;23;5.8;0
1;2;24;6.3;0
1;3;1;6.6;0
1;3;2;6.7;0
1;3;3;6.6;0
1;3;4;6.5;0
1;3;5;4.2;0
1;3;6;3.3;0
1;3;7;3.4;0
1;3;8;3.0;0
1;3;9;3.0;0
1;3;10;5.4;42
1;3;11;8.0;105
1;3;12;10.3;263
1;3;13;12.3;342
1;3;14;13.3;182
1;3;15;13.2;154
1;3;16;13.2;102
1;3;17;12.2;73
1;3;18;10.5;0
1;3;19;9.3;0
1;3;20;7.4;0
1;3;21;7.6;0
1;3;22;7.9;0
1;3;23;6.8;0
1;3;24;6.9;0
1;4;1;7.6;0
1;4;2;7.6;0
1;4;3;7.8;0
1;4;4;8.1;0
1;4;5;10.8;0
1;4;6;11.4;0
1;4;7;11.2;0
1;4;8;10.7;0
1;4;9;9.4;0
1;4;10;9.7;75
1;4;11;10.3;137
1;4;12;11.3;156
1;4;13;11.2;184
1;4;14;11.2;183
1;4;15;10.8;281
1;4;16;11.1;187
1;4;17;10.2;52
1;4;18;8.6;0
1;4;19;9.6;0
1;4;20;8.7;0
1;4;21;8.5;0
1;4;22;7.8;0
1;4;23;7.7;0
1;4;24;8.4;0
1;5;1;6.7;0
1;5;2;5.6;0
1;5;3;7.0;0
1;5;4;8.2;0
1;5;5;7.9;0
1;5;6;8.4;0
1;5;7;8.7;0
1;5;8;9.5;0
1;5;9;10.5;0
1;5;10;11.1;42
1;5;11;11.6;105
1;5;12;11.9;157
1;5;13;12.4;184
1;5;14;12.2;184
1;5;15;10.9;95
1;5;16;11.2;104
1;5;17;10.6;41
1;5;18;10.5;0
1;5;19;10.7;0
1;5;20;11.0;0
1;5;21;11.2;0
1;5;22;11.3;0
1;5;23;11.4;0
1;5;24;11.1;0
1;6;1;9.9;0
1;6;2;9.8;0
1;6;3;9.2;0
1;6;4;8.9;0
1;6;5;8.8;0
1;6;6;7.9;0
1;6;7;7.4;0
1;6;8;7.0;0
1;6;9;7.0;0
